"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"3332493","31G","333","33329A","333",""
"33324931","31G","333","33329A","333",""
"3332493105","31G","333","33329A","333",""
"33324932","31G","333","33329A","333",""
"3332493226","31G","333","33329A","333",""
"3332495","31G","333","33329A","333",""
"33324957","31G","333","33329A","333",""
"3332495700","31G","333","33329A","333",""
"3332497","31G","333","33329A","333",""
"33324978","31G","333","33329A","333",""
"3332497800","31G","333","33329A","333",""
"3332499","31G","333","33329A","333",""
"33324991","31G","333","33329A","333",""
"3332499121","31G","333","33329A","333",""
"33324992","31G","333","33329A","333",""
"3332499201","31G","333","33329A","333",""
"3332499206","31G","333","33329A","333",""
"3332499211","31G","333","33329A","333",""
"3332499216","31G","333","33329A","333",""
"3332499226","31G","333","33329A","333",""
"33324993","31G","333","33329A","333",""
"3332499331","31G","333","33329A","333",""
"3332499336","31G","333","33329A","333",""
"333249A","31G","333","33329A","333",""
"333249A1","31G","333","33329A","333",""
"333249A101","31G","333","33329A","333",""
"333249A106","31G","333","33329A","333",""
"333249A111","31G","333","33329A","333",""
"333249A116","31G","333","33329A","333",""
"333249A121","31G","333","33329A","333",""
"333249A2","31G","333","33329A","333",""
"333249A202","31G","333","33329A","333",""
"333249C","31G","333","33329A","333",""
"333249C1","31G","333","33329A","333",""
"333249C106","31G","333","33329A","333",""
"333249C2","31G","333","33329A","333",""
"333249C201","31G","333","33329A","333",""
"333249C211","31G","333","33329A","333",""
"333249C3","31G","333","33329A","333",""
"333249C316","31G","333","33329A","333",""
"333249F","31G","333","33329A","333",""
"333249F1","31G","333","33329A","333",""
"333249F103","31G","333","33329A","333",""
"333249F131","31G","333","33329A","333",""
"333249F141","31G","333","33329A","333",""
"333249F153","31G","333","33329A","333",""
"333249F156","31G","333","33329A","333",""
"333249F161","31G","333","33329A","333",""
"333249F171","31G","333","33329A","333",""
"333249F183","31G","333","33329A","333",""
"333249F196","31G","333","33329A","333",""
"333249F1C6","31G","333","33329A","333",""
"333249F1H9","31G","333","33329A","333",""
"333249F1J1","31G","333","33329A","333",""
"333249F1K1","31G","333","33329A","333",""
"333249F1K6","31G","333","33329A","333",""
"333249F1M1","31G","333","33329A","333",""
"333249F1N1","31G","333","33329A","333",""
"333249F1N6","31G","333","33329A","333",""
"333249F1P1","31G","333","33329A","333",""
"333249F1R3","31G","333","33329A","333",""
"333249F2","31G","333","33329A","333",""
"333249F201","31G","333","33329A","333",""
"333249F203","31G","333","33329A","333",""
"333249F205","31G","333","33329A","333",""
"333249F207","31G","333","33329A","333",""
"333249F209","31G","333","33329A","333",""
"333249F3","31G","333","33329A","333",""
"333249F3A6","31G","333","33329A","333",""
"333249F4","31G","333","33329A","333",""
"333249F411","31G","333","33329A","333",""
"333249F412","31G","333","33329A","333",""
"333249F413","31G","333","33329A","333",""
"333249F414","31G","333","33329A","333",""
"333249F415","31G","333","33329A","333",""
"333249F416","31G","333","33329A","333",""
"333249F417","31G","333","33329A","333",""
"333249F419","31G","333","33329A","333",""
"333249F5","31G","333","33329A","333",""
"333249F5R6","31G","333","33329A","333",""
"3333","31G","333","333314","333",""
"3333","31G","333","333316","333",""
"3333","31G","333","333318","333",""
"33331","31G","333","333314","333",""
"33331","31G","333","333316","333",""
"33331","31G","333","333318","333",""
"333314","31G","333","333314","333",""
"3333141","31G","333","333314","333",""
